"STATISTIC Label","Month","Type of Fertiliser","UNIT","VALUE"
"Fertiliser Price","1980 May","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980 May","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980 May","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980 May","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980 May","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980 May","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980 May","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980 May","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980 June","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","130"
"Fertiliser Price","1980 June","Urea (46% N)","Euro per Tonne","166"
"Fertiliser Price","1980 June","Granular Superphosphate (16% P)","Euro per Tonne","171"
"Fertiliser Price","1980 June","Muriate of Potash (50% K)","Euro per Tonne","114"
"Fertiliser Price","1980 June","Compound 0-10-20","Euro per Tonne","132"
"Fertiliser Price","1980 June","Compound 0-7-30","Euro per Tonne","131"
"Fertiliser Price","1980 June","Compound 7-6-17","Euro per Tonne","176"
"Fertiliser Price","1980 June","Compound 10-10-20","Euro per Tonne","171"
"Fertiliser Price","1980 June","Compound 14-7-14","Euro per Tonne","163"
"Fertiliser Price","1980 June","Compound 18-6-12","Euro per Tonne","164"
"Fertiliser Price","1980 June","Compound 24-2.5-10","Euro per Tonne","167"
"Fertiliser Price","1980 June","Compound 27-2.5-5","Euro per Tonne","163"
"Fertiliser Price","1980 June","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980 June","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980 June","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980 June","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980 June","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980 June","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980 June","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980 June","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980 June","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980 June","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980 June","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980 June","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980 July","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","130"
"Fertiliser Price","1980 July","Urea (46% N)","Euro per Tonne","166"
