"STATISTIC Label","Month","Type of Fertiliser","UNIT","VALUE"
"Fertiliser Price","2006 December","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2006 December","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2006 December","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2006 December","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2006 December","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2006 December","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2006 December","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007 January","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","230"
"Fertiliser Price","2007 January","Urea (46% N)","Euro per Tonne","310"
"Fertiliser Price","2007 January","Granular Superphosphate (16% P)","Euro per Tonne","290"
"Fertiliser Price","2007 January","Muriate of Potash (50% K)","Euro per Tonne","252"
"Fertiliser Price","2007 January","Compound 0-10-20","Euro per Tonne","231"
"Fertiliser Price","2007 January","Compound 0-7-30","Euro per Tonne","230"
"Fertiliser Price","2007 January","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007 January","Compound 10-10-20","Euro per Tonne","286"
"Fertiliser Price","2007 January","Compound 14-7-14","Euro per Tonne","281"
"Fertiliser Price","2007 January","Compound 18-6-12","Euro per Tonne","273"
"Fertiliser Price","2007 January","Compound 24-2.5-10","Euro per Tonne","276"
"Fertiliser Price","2007 January","Compound 27-2.5-5","Euro per Tonne","273"
"Fertiliser Price","2007 January","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007 January","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007 January","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007 January","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007 January","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007 January","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007 January","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007 January","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007 January","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007 January","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007 January","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007 January","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007 February","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","231"
"Fertiliser Price","2007 February","Urea (46% N)","Euro per Tonne","310"
"Fertiliser Price","2007 February","Granular Superphosphate (16% P)","Euro per Tonne","290"
"Fertiliser Price","2007 February","Muriate of Potash (50% K)","Euro per Tonne","255"
"Fertiliser Price","2007 February","Compound 0-10-20","Euro per Tonne","232"
"Fertiliser Price","2007 February","Compound 0-7-30","Euro per Tonne","232"
"Fertiliser Price","2007 February","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007 February","Compound 10-10-20","Euro per Tonne","286"
"Fertiliser Price","2007 February","Compound 14-7-14","Euro per Tonne","281"
"Fertiliser Price","2007 February","Compound 18-6-12","Euro per Tonne","273"
"Fertiliser Price","2007 February","Compound 24-2.5-10","Euro per Tonne","276"
"Fertiliser Price","2007 February","Compound 27-2.5-5","Euro per Tonne","273"
"Fertiliser Price","2007 February","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007 February","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007 February","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007 February","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007 February","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007 February","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007 February","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007 February","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007 February","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007 February","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007 February","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007 February","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007 March","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","233"
"Fertiliser Price","2007 March","Urea (46% N)","Euro per Tonne","311"
"Fertiliser Price","2007 March","Granular Superphosphate (16% P)","Euro per Tonne","290"
"Fertiliser Price","2007 March","Muriate of Potash (50% K)","Euro per Tonne","257"
"Fertiliser Price","2007 March","Compound 0-10-20","Euro per Tonne","234"
"Fertiliser Price","2007 March","Compound 0-7-30","Euro per Tonne","233"
"Fertiliser Price","2007 March","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007 March","Compound 10-10-20","Euro per Tonne","288"
"Fertiliser Price","2007 March","Compound 14-7-14","Euro per Tonne","281"
"Fertiliser Price","2007 March","Compound 18-6-12","Euro per Tonne","273"
"Fertiliser Price","2007 March","Compound 24-2.5-10","Euro per Tonne","277"
"Fertiliser Price","2007 March","Compound 27-2.5-5","Euro per Tonne","274"
"Fertiliser Price","2007 March","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007 March","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007 March","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007 March","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007 March","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007 March","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007 March","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007 March","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007 March","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007 March","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007 March","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007 March","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007 April","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","233"
"Fertiliser Price","2007 April","Urea (46% N)","Euro per Tonne","311"
"Fertiliser Price","2007 April","Granular Superphosphate (16% P)","Euro per Tonne","290"
"Fertiliser Price","2007 April","Muriate of Potash (50% K)","Euro per Tonne","257"
"Fertiliser Price","2007 April","Compound 0-10-20","Euro per Tonne","234"
"Fertiliser Price","2007 April","Compound 0-7-30","Euro per Tonne","234"
"Fertiliser Price","2007 April","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007 April","Compound 10-10-20","Euro per Tonne","288"
"Fertiliser Price","2007 April","Compound 14-7-14","Euro per Tonne","281"
"Fertiliser Price","2007 April","Compound 18-6-12","Euro per Tonne","274"
"Fertiliser Price","2007 April","Compound 24-2.5-10","Euro per Tonne","279"
"Fertiliser Price","2007 April","Compound 27-2.5-5","Euro per Tonne","275"
"Fertiliser Price","2007 April","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007 April","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007 April","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007 April","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007 April","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007 April","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007 April","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007 April","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007 April","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007 April","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007 April","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007 April","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007 May","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","234"
"Fertiliser Price","2007 May","Urea (46% N)","Euro per Tonne","311"
"Fertiliser Price","2007 May","Granular Superphosphate (16% P)","Euro per Tonne","292"
"Fertiliser Price","2007 May","Muriate of Potash (50% K)","Euro per Tonne","258"
"Fertiliser Price","2007 May","Compound 0-10-20","Euro per Tonne","236"
"Fertiliser Price","2007 May","Compound 0-7-30","Euro per Tonne","235"
"Fertiliser Price","2007 May","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007 May","Compound 10-10-20","Euro per Tonne","289"
"Fertiliser Price","2007 May","Compound 14-7-14","Euro per Tonne","282"
"Fertiliser Price","2007 May","Compound 18-6-12","Euro per Tonne","275"
"Fertiliser Price","2007 May","Compound 24-2.5-10","Euro per Tonne","280"
"Fertiliser Price","2007 May","Compound 27-2.5-5","Euro per Tonne","277"
"Fertiliser Price","2007 May","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007 May","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007 May","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007 May","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007 May","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007 May","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007 May","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007 May","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007 May","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007 May","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007 May","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007 May","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007 June","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","234"
"Fertiliser Price","2007 June","Urea (46% N)","Euro per Tonne","312"
"Fertiliser Price","2007 June","Granular Superphosphate (16% P)","Euro per Tonne","292"
"Fertiliser Price","2007 June","Muriate of Potash (50% K)","Euro per Tonne","258"
"Fertiliser Price","2007 June","Compound 0-10-20","Euro per Tonne","237"
"Fertiliser Price","2007 June","Compound 0-7-30","Euro per Tonne","235"
"Fertiliser Price","2007 June","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007 June","Compound 10-10-20","Euro per Tonne","290"
"Fertiliser Price","2007 June","Compound 14-7-14","Euro per Tonne","282"
"Fertiliser Price","2007 June","Compound 18-6-12","Euro per Tonne","275"
"Fertiliser Price","2007 June","Compound 24-2.5-10","Euro per Tonne","280"
"Fertiliser Price","2007 June","Compound 27-2.5-5","Euro per Tonne","277"
"Fertiliser Price","2007 June","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007 June","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007 June","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007 June","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007 June","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007 June","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007 June","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007 June","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007 June","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007 June","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007 June","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007 June","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007 July","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","235"
"Fertiliser Price","2007 July","Urea (46% N)","Euro per Tonne","312"
"Fertiliser Price","2007 July","Granular Superphosphate (16% P)","Euro per Tonne","293"
"Fertiliser Price","2007 July","Muriate of Potash (50% K)","Euro per Tonne","259"
"Fertiliser Price","2007 July","Compound 0-10-20","Euro per Tonne","237"
"Fertiliser Price","2007 July","Compound 0-7-30","Euro per Tonne","235"
"Fertiliser Price","2007 July","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007 July","Compound 10-10-20","Euro per Tonne","290"
"Fertiliser Price","2007 July","Compound 14-7-14","Euro per Tonne","283"
"Fertiliser Price","2007 July","Compound 18-6-12","Euro per Tonne","276"
"Fertiliser Price","2007 July","Compound 24-2.5-10","Euro per Tonne","279"
"Fertiliser Price","2007 July","Compound 27-2.5-5","Euro per Tonne","277"
"Fertiliser Price","2007 July","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007 July","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007 July","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007 July","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007 July","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007 July","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007 July","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007 July","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007 July","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007 July","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007 July","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007 July","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007 August","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","235"
"Fertiliser Price","2007 August","Urea (46% N)","Euro per Tonne","312"
"Fertiliser Price","2007 August","Granular Superphosphate (16% P)","Euro per Tonne","293"
"Fertiliser Price","2007 August","Muriate of Potash (50% K)","Euro per Tonne","259"
"Fertiliser Price","2007 August","Compound 0-10-20","Euro per Tonne","237"
"Fertiliser Price","2007 August","Compound 0-7-30","Euro per Tonne","235"
"Fertiliser Price","2007 August","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007 August","Compound 10-10-20","Euro per Tonne","290"
"Fertiliser Price","2007 August","Compound 14-7-14","Euro per Tonne","283"
"Fertiliser Price","2007 August","Compound 18-6-12","Euro per Tonne","276"
"Fertiliser Price","2007 August","Compound 24-2.5-10","Euro per Tonne","279"
"Fertiliser Price","2007 August","Compound 27-2.5-5","Euro per Tonne","277"
"Fertiliser Price","2007 August","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007 August","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007 August","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007 August","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007 August","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007 August","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007 August","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007 August","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007 August","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007 August","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007 August","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007 August","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007 September","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","235"
"Fertiliser Price","2007 September","Urea (46% N)","Euro per Tonne","313"
"Fertiliser Price","2007 September","Granular Superphosphate (16% P)","Euro per Tonne","303"
"Fertiliser Price","2007 September","Muriate of Potash (50% K)","Euro per Tonne","259"
"Fertiliser Price","2007 September","Compound 0-10-20","Euro per Tonne","251"
"Fertiliser Price","2007 September","Compound 0-7-30","Euro per Tonne","249"
"Fertiliser Price","2007 September","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007 September","Compound 10-10-20","Euro per Tonne","295"
"Fertiliser Price","2007 September","Compound 14-7-14","Euro per Tonne","290"
"Fertiliser Price","2007 September","Compound 18-6-12","Euro per Tonne","278"
"Fertiliser Price","2007 September","Compound 24-2.5-10","Euro per Tonne","280"
"Fertiliser Price","2007 September","Compound 27-2.5-5","Euro per Tonne","277"
"Fertiliser Price","2007 September","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007 September","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007 September","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007 September","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007 September","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007 September","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007 September","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007 September","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007 September","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007 September","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007 September","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007 September","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007 October","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","235"
"Fertiliser Price","2007 October","Urea (46% N)","Euro per Tonne","314"
"Fertiliser Price","2007 October","Granular Superphosphate (16% P)","Euro per Tonne","303"
"Fertiliser Price","2007 October","Muriate of Potash (50% K)","Euro per Tonne","259"
"Fertiliser Price","2007 October","Compound 0-10-20","Euro per Tonne","259"
"Fertiliser Price","2007 October","Compound 0-7-30","Euro per Tonne","257"
"Fertiliser Price","2007 October","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007 October","Compound 10-10-20","Euro per Tonne","298"
"Fertiliser Price","2007 October","Compound 14-7-14","Euro per Tonne","297"
"Fertiliser Price","2007 October","Compound 18-6-12","Euro per Tonne","281"
"Fertiliser Price","2007 October","Compound 24-2.5-10","Euro per Tonne","281"
"Fertiliser Price","2007 October","Compound 27-2.5-5","Euro per Tonne","278"
"Fertiliser Price","2007 October","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007 October","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007 October","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007 October","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007 October","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007 October","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007 October","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007 October","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007 October","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007 October","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007 October","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007 October","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007 November","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","239"
"Fertiliser Price","2007 November","Urea (46% N)","Euro per Tonne","320"
"Fertiliser Price","2007 November","Granular Superphosphate (16% P)","Euro per Tonne","303"
"Fertiliser Price","2007 November","Muriate of Potash (50% K)","Euro per Tonne","269"
"Fertiliser Price","2007 November","Compound 0-10-20","Euro per Tonne","270"
"Fertiliser Price","2007 November","Compound 0-7-30","Euro per Tonne","266"
"Fertiliser Price","2007 November","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007 November","Compound 10-10-20","Euro per Tonne","307"
"Fertiliser Price","2007 November","Compound 14-7-14","Euro per Tonne","307"
"Fertiliser Price","2007 November","Compound 18-6-12","Euro per Tonne","285"
"Fertiliser Price","2007 November","Compound 24-2.5-10","Euro per Tonne","283"
"Fertiliser Price","2007 November","Compound 27-2.5-5","Euro per Tonne","283"
"Fertiliser Price","2007 November","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007 November","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007 November","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007 November","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007 November","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007 November","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007 November","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007 November","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007 November","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007 November","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007 November","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007 November","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2007 December","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","251"
"Fertiliser Price","2007 December","Urea (46% N)","Euro per Tonne","336"
"Fertiliser Price","2007 December","Granular Superphosphate (16% P)","Euro per Tonne","367"
"Fertiliser Price","2007 December","Muriate of Potash (50% K)","Euro per Tonne","310"
"Fertiliser Price","2007 December","Compound 0-10-20","Euro per Tonne","291"
"Fertiliser Price","2007 December","Compound 0-7-30","Euro per Tonne","286"
"Fertiliser Price","2007 December","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2007 December","Compound 10-10-20","Euro per Tonne","331"
"Fertiliser Price","2007 December","Compound 14-7-14","Euro per Tonne","341"
"Fertiliser Price","2007 December","Compound 18-6-12","Euro per Tonne","303"
"Fertiliser Price","2007 December","Compound 24-2.5-10","Euro per Tonne","306"
"Fertiliser Price","2007 December","Compound 27-2.5-5","Euro per Tonne","305"
"Fertiliser Price","2007 December","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2007 December","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2007 December","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2007 December","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2007 December","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2007 December","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2007 December","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2007 December","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2007 December","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2007 December","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2007 December","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2007 December","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2008 January","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","284"
"Fertiliser Price","2008 January","Urea (46% N)","Euro per Tonne","378"
"Fertiliser Price","2008 January","Granular Superphosphate (16% P)","Euro per Tonne","474"
"Fertiliser Price","2008 January","Muriate of Potash (50% K)","Euro per Tonne","371"
"Fertiliser Price","2008 January","Compound 0-10-20","Euro per Tonne","328"
"Fertiliser Price","2008 January","Compound 0-7-30","Euro per Tonne","325"
"Fertiliser Price","2008 January","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2008 January","Compound 10-10-20","Euro per Tonne","366"
"Fertiliser Price","2008 January","Compound 14-7-14","Euro per Tonne","406"
"Fertiliser Price","2008 January","Compound 18-6-12","Euro per Tonne","350"
"Fertiliser Price","2008 January","Compound 24-2.5-10","Euro per Tonne","356"
"Fertiliser Price","2008 January","Compound 27-2.5-5","Euro per Tonne","355"
"Fertiliser Price","2008 January","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2008 January","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2008 January","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2008 January","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2008 January","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2008 January","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2008 January","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2008 January","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2008 January","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2008 January","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2008 January","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2008 January","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2008 February","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","338"
"Fertiliser Price","2008 February","Urea (46% N)","Euro per Tonne","419"
"Fertiliser Price","2008 February","Granular Superphosphate (16% P)","Euro per Tonne","507"
"Fertiliser Price","2008 February","Muriate of Potash (50% K)","Euro per Tonne","412"
"Fertiliser Price","2008 February","Compound 0-10-20","Euro per Tonne","386"
"Fertiliser Price","2008 February","Compound 0-7-30","Euro per Tonne","383"
"Fertiliser Price","2008 February","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2008 February","Compound 10-10-20","Euro per Tonne","459"
"Fertiliser Price","2008 February","Compound 14-7-14","Euro per Tonne","443"
"Fertiliser Price","2008 February","Compound 18-6-12","Euro per Tonne","418"
"Fertiliser Price","2008 February","Compound 24-2.5-10","Euro per Tonne","426"
"Fertiliser Price","2008 February","Compound 27-2.5-5","Euro per Tonne","430"
"Fertiliser Price","2008 February","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2008 February","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2008 February","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2008 February","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2008 February","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2008 February","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2008 February","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2008 February","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2008 February","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2008 February","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2008 February","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2008 February","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2008 March","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","354"
"Fertiliser Price","2008 March","Urea (46% N)","Euro per Tonne","422"
"Fertiliser Price","2008 March","Granular Superphosphate (16% P)","Euro per Tonne","517"
"Fertiliser Price","2008 March","Muriate of Potash (50% K)","Euro per Tonne","430"
"Fertiliser Price","2008 March","Compound 0-10-20","Euro per Tonne","410"
"Fertiliser Price","2008 March","Compound 0-7-30","Euro per Tonne","409"
"Fertiliser Price","2008 March","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2008 March","Compound 10-10-20","Euro per Tonne","466"
"Fertiliser Price","2008 March","Compound 14-7-14","Euro per Tonne","478"
"Fertiliser Price","2008 March","Compound 18-6-12","Euro per Tonne","435"
"Fertiliser Price","2008 March","Compound 24-2.5-10","Euro per Tonne","441"
"Fertiliser Price","2008 March","Compound 27-2.5-5","Euro per Tonne","437"
"Fertiliser Price","2008 March","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","2008 March","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","2008 March","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","2008 March","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2008 March","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2008 March","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2008 March","Compound 13-6-20","Euro per Tonne",""
